Entity,Code,Date,Total confirmed deaths (deaths),Daily new confirmed deaths (deaths),Days Since Third Death,Daily Confirmed Deaths avg
Iran,IRN,"Mar 17, 2020",853,129,22,88.0
Iran,IRN,"Mar 18, 2020",988,135,23,99.57142857142857
Iran,IRN,"Mar 19, 2020",1135,147,24,111.57142857142857
Iran,IRN,"Mar 20, 2020",1284,149,25,122.14285714285714
Iran,IRN,"Mar 21, 2020",1433,149,26,131.28571428571428
Iran,IRN,"Mar 22, 2020",1556,123,27,135.0
Iran,IRN,"Mar 23, 2020",1685,129,28,137.28571428571428
Iran,IRN,"Mar 24, 2020",1812,127,29,137.0
Iran,IRN,"Mar 25, 2020",1934,122,30,135.14285714285714
Iran,IRN,"Mar 26, 2020",2077,143,31,134.57142857142858
Iran,IRN,"Mar 27, 2020",2234,157,32,135.71428571428572
Iran,IRN,"Mar 28, 2020",2378,144,33,135.0
Iran,IRN,"Mar 29, 2020",2517,139,34,137.28571428571428
Iran,IRN,"Mar 30, 2020",2640,123,35,136.42857142857142
Iran,IRN,"Mar 31, 2020",2757,117,36,135.0
Iran,IRN,"Apr 1, 2020",2898,141,37,137.71428571428572
Iran,IRN,"Apr 2, 2020",3036,138,38,137.0
Iran,IRN,"Apr 3, 2020",3160,124,39,132.28571428571428
Iran,IRN,"Apr 4, 2020",3160,0,40,111.71428571428571
Iraq,IRQ,"Mar 9, 2020",6,4,0,92.42857142857143
Iraq,IRQ,"Mar 11, 2020",6,0,1,74.85714285714286
Iraq,IRQ,"Mar 12, 2020",8,2,2,58.42857142857143
Iraq,IRQ,"Mar 13, 2020",8,0,3,38.285714285714285
Iraq,IRQ,"Mar 14, 2020",9,1,4,18.714285714285715
Iraq,IRQ,"Mar 15, 2020",9,0,5,1.0
Iraq,IRQ,"Mar 16, 2020",9,0,6,1.0
Iraq,IRQ,"Mar 17, 2020",9,0,7,0.42857142857142855
Iraq,IRQ,"Mar 18, 2020",11,2,8,0.7142857142857143
Iraq,IRQ,"Mar 19, 2020",12,1,9,0.5714285714285714
Iraq,IRQ,"Mar 20, 2020",12,0,10,0.5714285714285714
Iraq,IRQ,"Mar 21, 2020",14,2,11,0.7142857142857143
Iraq,IRQ,"Mar 22, 2020",17,3,12,1.1428571428571428
Iraq,IRQ,"Mar 23, 2020",20,3,13,1.5714285714285714
Iraq,IRQ,"Mar 24, 2020",23,3,14,2.0
Iraq,IRQ,"Mar 25, 2020",27,4,15,2.2857142857142856
Iraq,IRQ,"Mar 26, 2020",29,2,16,2.4285714285714284
Iraq,IRQ,"Mar 27, 2020",36,7,17,3.4285714285714284
Iraq,IRQ,"Mar 28, 2020",40,4,18,3.7142857142857144
Iraq,IRQ,"Mar 29, 2020",42,2,19,3.5714285714285716
Iraq,IRQ,"Mar 30, 2020",42,0,20,3.142857142857143
Iraq,IRQ,"Mar 31, 2020",46,4,21,3.2857142857142856
Iraq,IRQ,"Apr 1, 2020",50,4,22,3.2857142857142856
Iraq,IRQ,"Apr 2, 2020",50,0,23,3.0
Iraq,IRQ,"Apr 3, 2020",54,4,24,2.5714285714285716
Iraq,IRQ,"Apr 4, 2020",54,0,25,2.0
Ireland,IRL,"Mar 27, 2020",19,10,0,3.142857142857143
Ireland,IRL,"Mar 28, 2020",22,3,1,3.5714285714285716
Ireland,IRL,"Mar 29, 2020",36,14,2,5.0
Ireland,IRL,"Mar 30, 2020",46,10,3,5.857142857142857
Ireland,IRL,"Mar 31, 2020",54,8,4,7.0
Ireland,IRL,"Apr 1, 2020",71,17,5,8.857142857142858
Ireland,IRL,"Apr 2, 2020",85,14,6,10.857142857142858
Ireland,IRL,"Apr 3, 2020",98,13,7,11.285714285714286
Ireland,IRL,"Apr 4, 2020",120,22,8,14.0
Israel,ISR,"Mar 27, 2020",8,3,0,12.428571428571429
Israel,ISR,"Mar 28, 2020",10,2,1,11.285714285714286
Israel,ISR,"Mar 29, 2020",12,2,2,10.428571428571429
Israel,ISR,"Mar 30, 2020",15,3,3,8.428571428571429
Israel,ISR,"Mar 31, 2020",17,2,4,6.714285714285714
Israel,ISR,"Apr 1, 2020",20,3,5,5.285714285714286
Israel,ISR,"Apr 2, 2020",21,1,6,2.2857142857142856
Israel,ISR,"Apr 3, 2020",34,13,7,3.7142857142857144
Israel,ISR,"Apr 4, 2020",39,5,8,4.142857142857143
Italy,ITA,"Feb 25, 2020",6,4,0,4.428571428571429
Italy,ITA,"Feb 26, 2020",11,5,1,4.714285714285714
Italy,ITA,"Feb 27, 2020",12,1,2,4.571428571428571
Italy,ITA,"Feb 28, 2020",17,5,3,4.857142857142857
Italy,ITA,"Feb 29, 2020",21,4,4,5.285714285714286
Italy,ITA,"Mar 1, 2020",29,8,5,4.571428571428571
Italy,ITA,"Mar 2, 2020",35,6,6,4.714285714285714
Italy,ITA,"Mar 3, 2020",52,17,7,6.571428571428571
Italy,ITA,"Mar 4, 2020",80,28,8,9.857142857142858
Italy,ITA,"Mar 5, 2020",107,27,9,13.571428571428571
Italy,ITA,"Mar 6, 2020",148,41,10,18.714285714285715
Italy,ITA,"Mar 7, 2020",197,49,11,25.142857142857142
Italy,ITA,"Mar 8, 2020",233,36,12,29.142857142857142
Italy,ITA,"Mar 9, 2020",366,133,13,47.285714285714285
Italy,ITA,"Mar 10, 2020",464,98,14,58.857142857142854
Italy,ITA,"Mar 11, 2020",631,167,15,78.71428571428571
Italy,ITA,"Mar 12, 2020",827,196,16,102.85714285714286
Italy,ITA,"Mar 13, 2020",1016,189,17,124.0
Italy,ITA,"Mar 14, 2020",1268,252,18,153.0
Italy,ITA,"Mar 15, 2020",1441,173,19,172.57142857142858
Italy,ITA,"Mar 16, 2020",1811,370,20,206.42857142857142
Italy,ITA,"Mar 17, 2020",2158,347,21,242.0
Italy,ITA,"Mar 18, 2020",2505,347,22,267.7142857142857
Italy,ITA,"Mar 19, 2020",2978,473,23,307.2857142857143
Italy,ITA,"Mar 20, 2020",3407,429,24,341.57142857142856
Italy,ITA,"Mar 21, 2020",4032,625,25,394.85714285714283
Italy,ITA,"Mar 22, 2020",4827,795,26,483.7142857142857
Italy,ITA,"Mar 23, 2020",5476,649,27,523.5714285714286
Italy,ITA,"Mar 24, 2020",6077,601,28,559.8571428571429
Italy,ITA,"Mar 25, 2020",6820,743,29,616.4285714285714
Italy,ITA,"Mar 26, 2020",7505,685,30,646.7142857142857
Italy,ITA,"Mar 27, 2020",8165,660,31,679.7142857142857
Italy,ITA,"Mar 28, 2020",9136,971,32,729.1428571428571
Italy,ITA,"Mar 29, 2020",10023,887,33,742.2857142857143
Italy,ITA,"Mar 30, 2020",10781,758,34,757.8571428571429
Italy,ITA,"Mar 31, 2020",11591,810,35,787.7142857142857
Italy,ITA,"Apr 1, 2020",12430,839,36,801.4285714285714
Italy,ITA,"Apr 2, 2020",13157,727,37,807.4285714285714
Italy,ITA,"Apr 3, 2020",13917,760,38,821.7142857142857
Italy,ITA,"Apr 4, 2020",14681,764,39,792.1428571428571
Japan,JPN,"Mar 11, 2020",12,3,0,665.8571428571429
Japan,JPN,"Mar 12, 2020",15,3,1,558.0
Japan,JPN,"Mar 13, 2020",19,4,2,442.85714285714283
Japan,JPN,"Mar 14, 2020",21,2,3,323.2857142857143
Japan,JPN,"Mar 15, 2020",22,1,4,219.57142857142858
Japan,JPN,"Mar 16, 2020",24,2,5,111.28571428571429
Japan,JPN,"Mar 17, 2020",28,4,6,2.7142857142857144
Japan,JPN,"Mar 18, 2020",28,0,7,2.2857142857142856
Japan,JPN,"Mar 19, 2020",29,1,8,2.0
Japan,JPN,"Mar 20, 2020",33,4,9,2.0
Japan,JPN,"Mar 21, 2020",35,2,10,2.0
Japan,JPN,"Mar 22, 2020",36,1,11,2.0
Japan,JPN,"Mar 23, 2020",41,5,12,2.4285714285714284
Japan,JPN,"Mar 24, 2020",42,1,13,2.0
Japan,JPN,"Mar 25, 2020",43,1,14,2.142857142857143
Japan,JPN,"Mar 26, 2020",45,2,15,2.2857142857142856
Japan,JPN,"Mar 27, 2020",46,1,16,1.8571428571428572
Japan,JPN,"Mar 28, 2020",49,3,17,2.0
Japan,JPN,"Mar 29, 2020",52,3,18,2.2857142857142856
Japan,JPN,"Mar 30, 2020",54,2,19,1.8571428571428572
Japan,JPN,"Mar 31, 2020",56,2,20,2.0
Japan,JPN,"Apr 1, 2020",56,0,21,1.8571428571428572
Japan,JPN,"Apr 2, 2020",57,1,22,1.7142857142857142
Japan,JPN,"Apr 3, 2020",63,6,23,2.4285714285714284
Japan,JPN,"Apr 4, 2020",69,6,24,2.857142857142857
Jordan,JOR,"Mar 31, 2020",5,4,0,3.0
Jordan,JOR,"Apr 1, 2020",5,0,1,2.7142857142857144
Jordan,JOR,"Apr 2, 2020",5,0,2,2.4285714285714284
Jordan,JOR,"Apr 3, 2020",5,0,3,2.4285714285714284
Jordan,JOR,"Apr 4, 2020",5,0,4,2.2857142857142856
Lebanon,LBN,"Apr 3, 2020",16,4,0,2.0
Lebanon,LBN,"Apr 4, 2020",16,0,1,1.1428571428571428
Luxembourg,LUX,"Mar 22, 2020",8,3,0,1.0
Luxembourg,LUX,"Mar 23, 2020",8,0,1,1.0
Luxembourg,LUX,"Mar 24, 2020",8,0,2,1.0
Luxembourg,LUX,"Mar 25, 2020",8,0,3,1.0
Luxembourg,LUX,"Mar 26, 2020",8,0,4,1.0
Luxembourg,LUX,"Mar 27, 2020",9,1,5,0.5714285714285714
Luxembourg,LUX,"Mar 28, 2020",15,6,6,1.4285714285714286
Luxembourg,LUX,"Mar 29, 2020",18,3,7,1.4285714285714286
Luxembourg,LUX,"Mar 30, 2020",21,3,8,1.8571428571428572
Luxembourg,LUX,"Mar 31, 2020",22,1,9,2.0
Luxembourg,LUX,"Apr 1, 2020",23,1,10,2.142857142857143
Luxembourg,LUX,"Apr 2, 2020",29,6,11,3.0
Luxembourg,LUX,"Apr 3, 2020",30,1,12,3.0
Luxembourg,LUX,"Apr 4, 2020",31,1,13,2.2857142857142856
Malaysia,MYS,"Mar 23, 2020",10,6,0,2.7142857142857144
Malaysia,MYS,"Mar 24, 2020",14,4,1,2.857142857142857
Malaysia,MYS,"Mar 25, 2020",15,1,2,2.857142857142857
Malaysia,MYS,"Mar 26, 2020",19,4,3,3.2857142857142856
Malaysia,MYS,"Mar 27, 2020",23,4,4,3.0
Malaysia,MYS,"Mar 28, 2020",26,3,5,3.2857142857142856
Malaysia,MYS,"Mar 29, 2020",27,1,6,3.2857142857142856
Malaysia,MYS,"Mar 30, 2020",34,7,7,3.4285714285714284
Malaysia,MYS,"Mar 31, 2020",37,3,8,3.2857142857142856
Malaysia,MYS,"Apr 1, 2020",37,0,9,3.142857142857143
Malaysia,MYS,"Apr 2, 2020",45,8,10,3.7142857142857144
Malaysia,MYS,"Apr 3, 2020",50,5,11,3.857142857142857
Malaysia,MYS,"Apr 4, 2020",53,3,12,3.857142857142857
Mexico,MEX,"Mar 27, 2020",8,3,0,4.142857142857143
Mexico,MEX,"Mar 28, 2020",12,4,1,3.7142857142857144
Mexico,MEX,"Mar 29, 2020",16,4,2,3.857142857142857
Mexico,MEX,"Mar 30, 2020",20,4,3,4.428571428571429
Mexico,MEX,"Mar 31, 2020",28,8,4,4.428571428571429
Mexico,MEX,"Apr 1, 2020",29,1,5,3.857142857142857
Mexico,MEX,"Apr 2, 2020",37,8,6,4.571428571428571
Mexico,MEX,"Apr 3, 2020",37,0,7,4.142857142857143
Mexico,MEX,"Apr 4, 2020",60,23,8,6.857142857142857
Morocco,MAR,"Mar 27, 2020",10,4,0,6.857142857142857
Morocco,MAR,"Mar 28, 2020",23,13,1,8.142857142857142
Morocco,MAR,"Mar 29, 2020",23,0,2,7.0
Morocco,MAR,"Mar 30, 2020",26,3,3,7.285714285714286
Morocco,MAR,"Mar 31, 2020",33,7,4,7.142857142857143
Morocco,MAR,"Apr 1, 2020",36,3,5,7.571428571428571
Morocco,MAR,"Apr 2, 2020",39,3,6,4.714285714285714
Morocco,MAR,"Apr 3, 2020",44,5,7,4.857142857142857
Morocco,MAR,"Apr 4, 2020",44,0,8,3.0
Netherlands,NLD,"Mar 15, 2020",12,7,0,4.0
Netherlands,NLD,"Mar 16, 2020",20,8,1,4.714285714285714
Netherlands,NLD,"Mar 17, 2020",24,4,2,4.285714285714286
Netherlands,NLD,"Mar 18, 2020",43,19,3,6.571428571428571
Netherlands,NLD,"Mar 19, 2020",58,15,4,8.285714285714286
Netherlands,NLD,"Mar 20, 2020",76,18,5,10.142857142857142
Netherlands,NLD,"Mar 21, 2020",106,30,6,14.428571428571429
Netherlands,NLD,"Mar 22, 2020",136,30,7,17.714285714285715
Netherlands,NLD,"Mar 23, 2020",179,43,8,22.714285714285715
Netherlands,NLD,"Mar 24, 2020",213,34,9,27.0
Netherlands,NLD,"Mar 25, 2020",276,63,10,33.285714285714285
Netherlands,NLD,"Mar 26, 2020",356,80,11,42.57142857142857
Netherlands,NLD,"Mar 27, 2020",434,78,12,51.142857142857146
Netherlands,NLD,"Mar 28, 2020",546,112,13,62.857142857142854
Netherlands,NLD,"Mar 29, 2020",639,93,14,71.85714285714286
Netherlands,NLD,"Mar 30, 2020",771,132,15,84.57142857142857
Netherlands,NLD,"Mar 31, 2020",864,93,16,93.0
Netherlands,NLD,"Apr 1, 2020",1039,175,17,109.0
Netherlands,NLD,"Apr 2, 2020",1173,134,18,116.71428571428571
Netherlands,NLD,"Apr 3, 2020",1339,166,19,129.28571428571428
Netherlands,NLD,"Apr 4, 2020",1487,148,20,134.42857142857142
Norway,NOR,"Mar 20, 2020",6,3,0,121.57142857142857
Norway,NOR,"Mar 21, 2020",7,1,1,102.85714285714286
Norway,NOR,"Mar 22, 2020",7,0,2,89.57142857142857
Norway,NOR,"Mar 23, 2020",7,0,3,64.57142857142857
Norway,NOR,"Mar 24, 2020",8,1,4,45.57142857142857
Norway,NOR,"Mar 25, 2020",10,2,5,22.142857142857142
Norway,NOR,"Mar 26, 2020",12,2,6,1.2857142857142858
Norway,NOR,"Mar 27, 2020",14,2,7,1.1428571428571428
Norway,NOR,"Mar 28, 2020",16,2,8,1.2857142857142858
Norway,NOR,"Mar 29, 2020",20,4,9,1.8571428571428572
Norway,NOR,"Mar 30, 2020",22,2,10,2.142857142857143
Norway,NOR,"Mar 31, 2020",26,4,11,2.5714285714285716
Norway,NOR,"Apr 1, 2020",28,2,12,2.5714285714285716
Norway,NOR,"Apr 2, 2020",32,4,13,2.857142857142857
Norway,NOR,"Apr 3, 2020",42,10,14,4.0
Norway,NOR,"Apr 4, 2020",44,2,15,4.0
Pakistan,PAK,"Mar 31, 2020",18,5,0,4.142857142857143
Pakistan,PAK,"Apr 1, 2020",26,8,1,5.0
Pakistan,PAK,"Apr 2, 2020",31,5,2,5.142857142857143
Pakistan,PAK,"Apr 3, 2020",31,0,3,4.857142857142857
Pakistan,PAK,"Apr 4, 2020",31,0,4,4.285714285714286
Panama,PAN,"Mar 24, 2020",6,3,0,3.2857142857142856
Panama,PAN,"Mar 25, 2020",6,0,1,3.0
Panama,PAN,"Mar 26, 2020",6,0,2,2.2857142857142856
Panama,PAN,"Mar 27, 2020",9,3,3,1.5714285714285714
Panama,PAN,"Mar 28, 2020",14,5,4,1.5714285714285714
Panama,PAN,"Mar 29, 2020",17,3,5,2.0
Panama,PAN,"Mar 30, 2020",24,7,6,3.0
Panama,PAN,"Mar 31, 2020",26,2,7,2.857142857142857
Panama,PAN,"Apr 1, 2020",30,4,8,3.4285714285714284
Panama,PAN,"Apr 2, 2020",32,2,9,3.7142857142857144
Panama,PAN,"Apr 3, 2020",37,5,10,4.0
Panama,PAN,"Apr 4, 2020",41,4,11,3.857142857142857
Peru,PER,"Mar 29, 2020",16,5,0,4.142857142857143
Peru,PER,"Mar 30, 2020",18,2,1,3.4285714285714284
Peru,PER,"Mar 31, 2020",24,6,2,4.0
Peru,PER,"Apr 1, 2020",30,6,3,4.285714285714286
Peru,PER,"Apr 2, 2020",47,17,4,6.428571428571429
Peru,PER,"Apr 3, 2020",55,8,5,6.857142857142857
Peru,PER,"Apr 4, 2020",61,6,6,7.142857142857143
Philippines,PHL,"Mar 14, 2020",6,4,0,7.0
Philippines,PHL,"Mar 15, 2020",6,0,1,6.714285714285714
Philippines,PHL,"Mar 16, 2020",12,6,2,6.714285714285714
Philippines,PHL,"Mar 17, 2020",12,0,3,5.857142857142857
Philippines,PHL,"Mar 18, 2020",14,2,4,3.7142857142857144
Philippines,PHL,"Mar 19, 2020",17,3,5,3.0
Philippines,PHL,"Mar 20, 2020",18,1,6,2.2857142857142856
Philippines,PHL,"Mar 21, 2020",18,0,7,1.7142857142857142
Philippines,PHL,"Mar 22, 2020",25,7,8,2.7142857142857144
Philippines,PHL,"Mar 23, 2020",25,0,9,1.8571428571428572
Philippines,PHL,"Mar 24, 2020",33,8,10,3.0
Philippines,PHL,"Mar 25, 2020",35,2,11,3.0
Philippines,PHL,"Mar 26, 2020",38,3,12,3.0
Philippines,PHL,"Mar 27, 2020",45,7,13,3.857142857142857
Philippines,PHL,"Mar 28, 2020",54,9,14,5.142857142857143
Philippines,PHL,"Mar 29, 2020",68,14,15,6.142857142857143
Philippines,PHL,"Mar 30, 2020",71,3,16,6.571428571428571
Philippines,PHL,"Mar 31, 2020",88,17,17,7.857142857142857
Philippines,PHL,"Apr 1, 2020",88,0,18,7.571428571428571
Philippines,PHL,"Apr 2, 2020",96,8,19,8.285714285714286
Philippines,PHL,"Apr 3, 2020",107,11,20,8.857142857142858
Philippines,PHL,"Apr 4, 2020",136,29,21,11.714285714285714
Poland,POL,"Mar 26, 2020",14,4,0,10.285714285714286
Poland,POL,"Mar 27, 2020",16,2,1,10.142857142857142
Poland,POL,"Mar 28, 2020",16,0,2,7.714285714285714
Poland,POL,"Mar 29, 2020",18,2,3,8.0
Poland,POL,"Mar 30, 2020",22,4,4,7.428571428571429
Poland,POL,"Mar 31, 2020",31,9,5,7.142857142857143
Poland,POL,"Apr 1, 2020",33,2,6,3.2857142857142856
Poland,POL,"Apr 2, 2020",43,10,7,4.142857142857143
Poland,POL,"Apr 3, 2020",57,14,8,5.857142857142857
Poland,POL,"Apr 4, 2020",71,14,9,7.857142857142857
Portugal,PRT,"Mar 21, 2020",6,3,0,8.0
Portugal,PRT,"Mar 22, 2020",12,6,1,8.285714285714286
Portugal,PRT,"Mar 23, 2020",14,2,2,7.285714285714286
Portugal,PRT,"Mar 24, 2020",23,9,3,8.285714285714286
Portugal,PRT,"Mar 25, 2020",33,10,4,8.285714285714286
Portugal,PRT,"Mar 26, 2020",43,10,5,7.714285714285714
Portugal,PRT,"Mar 27, 2020",60,17,6,8.142857142857142
Portugal,PRT,"Mar 28, 2020",76,16,7,10.0
Portugal,PRT,"Mar 29, 2020",100,24,8,12.571428571428571
Portugal,PRT,"Mar 30, 2020",119,19,9,15.0
Portugal,PRT,"Mar 31, 2020",140,21,10,16.714285714285715
Portugal,PRT,"Apr 1, 2020",160,20,11,18.142857142857142
Portugal,PRT,"Apr 2, 2020",187,27,12,20.571428571428573
Portugal,PRT,"Apr 3, 2020",209,22,13,21.285714285714285
Portugal,PRT,"Apr 4, 2020",246,37,14,24.285714285714285
Puerto Rico,PRI,"Apr 2, 2020",11,3,0,21.285714285714285
Puerto Rico,PRI,"Apr 3, 2020",12,1,1,18.714285714285715
Puerto Rico,PRI,"Apr 4, 2020",15,3,2,16.142857142857142
Romania,ROU,"Mar 24, 2020",7,5,0,14.0
Romania,ROU,"Mar 25, 2020",11,4,1,10.714285714285714
Romania,ROU,"Mar 26, 2020",13,2,2,7.857142857142857
Romania,ROU,"Mar 27, 2020",17,4,3,3.142857142857143
Romania,ROU,"Mar 28, 2020",24,7,4,3.7142857142857144
Romania,ROU,"Mar 29, 2020",29,5,5,4.285714285714286
Romania,ROU,"Mar 30, 2020",40,11,6,5.428571428571429
Romania,ROU,"Mar 31, 2020",44,4,7,5.285714285714286
Romania,ROU,"Apr 1, 2020",69,25,8,8.285714285714286
Romania,ROU,"Apr 2, 2020",85,16,9,10.285714285714286
Romania,ROU,"Apr 3, 2020",94,9,10,11.0
Romania,ROU,"Apr 4, 2020",133,39,11,15.571428571428571
Russia,RUS,"Mar 30, 2020",8,3,0,15.285714285714286
Russia,RUS,"Mar 31, 2020",10,2,1,14.0
Russia,RUS,"Apr 1, 2020",17,7,2,14.428571428571429
Russia,RUS,"Apr 2, 2020",24,7,3,11.857142857142858
Russia,RUS,"Apr 3, 2020",30,6,4,10.428571428571429
Russia,RUS,"Apr 4, 2020",34,4,5,9.714285714285714
San Marino,SMR,"Mar 19, 2020",14,3,0,4.571428571428571
San Marino,SMR,"Mar 20, 2020",14,0,1,4.142857142857143
San Marino,SMR,"Mar 21, 2020",14,0,2,3.857142857142857
San Marino,SMR,"Mar 22, 2020",20,6,3,3.7142857142857144
San Marino,SMR,"Mar 23, 2020",20,0,4,2.7142857142857144
San Marino,SMR,"Mar 24, 2020",20,0,5,1.8571428571428572
San Marino,SMR,"Mar 25, 2020",21,1,6,1.4285714285714286
San Marino,SMR,"Mar 26, 2020",21,0,7,1.0
San Marino,SMR,"Mar 27, 2020",21,0,8,1.0
San Marino,SMR,"Mar 28, 2020",21,0,9,1.0
San Marino,SMR,"Mar 29, 2020",22,1,10,0.2857142857142857
San Marino,SMR,"Mar 30, 2020",24,2,11,0.5714285714285714
San Marino,SMR,"Mar 31, 2020",25,1,12,0.7142857142857143
San Marino,SMR,"Apr 1, 2020",26,1,13,0.7142857142857143
San Marino,SMR,"Apr 2, 2020",26,0,14,0.7142857142857143
San Marino,SMR,"Apr 3, 2020",30,4,15,1.2857142857142858
San Marino,SMR,"Apr 4, 2020",32,2,16,1.5714285714285714
Saudi Arabia,SAU,"Mar 30, 2020",8,4,0,2.0
Saudi Arabia,SAU,"Mar 31, 2020",8,0,1,1.7142857142857142
Saudi Arabia,SAU,"Apr 1, 2020",10,2,2,1.8571428571428572
Saudi Arabia,SAU,"Apr 2, 2020",16,6,3,2.5714285714285716
Saudi Arabia,SAU,"Apr 3, 2020",21,5,4,3.2857142857142856
Saudi Arabia,SAU,"Apr 4, 2020",21,0,5,2.7142857142857144
Serbia,SRB,"Mar 28, 2020",6,3,0,2.857142857142857
Serbia,SRB,"Mar 29, 2020",10,4,1,2.857142857142857
Serbia,SRB,"Mar 30, 2020",13,3,2,3.2857142857142856
Serbia,SRB,"Mar 31, 2020",13,0,3,3.0
Serbia,SRB,"Apr 1, 2020",23,10,4,3.5714285714285716
Serbia,SRB,"Apr 2, 2020",23,0,5,2.857142857142857
Serbia,SRB,"Apr 3, 2020",31,8,6,4.0
Serbia,SRB,"Apr 4, 2020",39,8,7,4.714285714285714
Slovenia,SVN,"Mar 28, 2020",9,4,0,4.714285714285714
Slovenia,SVN,"Mar 29, 2020",9,0,1,4.285714285714286
Slovenia,SVN,"Mar 30, 2020",11,2,2,4.571428571428571
Slovenia,SVN,"Mar 31, 2020",11,0,3,3.142857142857143
Slovenia,SVN,"Apr 1, 2020",13,2,4,3.4285714285714284
Slovenia,SVN,"Apr 2, 2020",15,2,5,2.5714285714285716
Slovenia,SVN,"Apr 3, 2020",16,1,6,1.5714285714285714
Slovenia,SVN,"Apr 4, 2020",20,4,7,1.5714285714285714
South Korea,KOR,"Feb 23, 2020",5,3,0,2.0
South Korea,KOR,"Feb 24, 2020",7,2,1,2.0
South Korea,KOR,"Feb 25, 2020",8,1,2,2.142857142857143
South Korea,KOR,"Feb 26, 2020",11,3,3,2.2857142857142856
South Korea,KOR,"Feb 27, 2020",12,1,4,2.142857142857143
South Korea,KOR,"Feb 28, 2020",13,1,5,2.142857142857143
South Korea,KOR,"Feb 29, 2020",16,3,6,2.0
South Korea,KOR,"Mar 1, 2020",17,1,7,1.7142857142857142
South Korea,KOR,"Mar 2, 2020",22,5,8,2.142857142857143
South Korea,KOR,"Mar 3, 2020",28,6,9,2.857142857142857
South Korea,KOR,"Mar 4, 2020",32,4,10,3.0
South Korea,KOR,"Mar 5, 2020",35,3,11,3.2857142857142856
South Korea,KOR,"Mar 6, 2020",42,7,12,4.142857142857143
South Korea,KOR,"Mar 7, 2020",44,2,13,4.0
South Korea,KOR,"Mar 8, 2020",50,6,14,4.714285714285714
South Korea,KOR,"Mar 9, 2020",51,1,15,4.142857142857143
South Korea,KOR,"Mar 10, 2020",54,3,16,3.7142857142857144
South Korea,KOR,"Mar 11, 2020",60,6,17,4.0
South Korea,KOR,"Mar 12, 2020",66,6,18,4.428571428571429
South Korea,KOR,"Mar 13, 2020",67,1,19,3.5714285714285716
South Korea,KOR,"Mar 14, 2020",72,5,20,4.0
South Korea,KOR,"Mar 15, 2020",75,3,21,3.5714285714285716
South Korea,KOR,"Mar 16, 2020",75,0,22,3.4285714285714284
South Korea,KOR,"Mar 17, 2020",81,6,23,3.857142857142857
South Korea,KOR,"Mar 18, 2020",86,5,24,3.7142857142857144
South Korea,KOR,"Mar 19, 2020",91,5,25,3.5714285714285716
South Korea,KOR,"Mar 20, 2020",100,9,26,4.714285714285714
South Korea,KOR,"Mar 21, 2020",103,3,27,4.428571428571429
South Korea,KOR,"Mar 22, 2020",104,1,28,4.142857142857143
South Korea,KOR,"Mar 23, 2020",113,9,29,5.428571428571429
South Korea,KOR,"Mar 24, 2020",120,7,30,5.571428571428571
South Korea,KOR,"Mar 25, 2020",126,6,31,5.714285714285714
South Korea,KOR,"Mar 26, 2020",131,5,32,5.714285714285714
South Korea,KOR,"Mar 27, 2020",139,8,33,5.571428571428571
South Korea,KOR,"Mar 28, 2020",144,5,34,5.857142857142857
South Korea,KOR,"Mar 29, 2020",152,8,35,6.857142857142857
South Korea,KOR,"Mar 30, 2020",158,6,36,6.428571428571429
South Korea,KOR,"Mar 31, 2020",163,5,37,6.142857142857143
South Korea,KOR,"Apr 1, 2020",163,0,38,5.285714285714286
South Korea,KOR,"Apr 2, 2020",169,6,39,5.428571428571429
South Korea,KOR,"Apr 3, 2020",174,5,40,5.0
South Korea,KOR,"Apr 4, 2020",177,3,41,4.714285714285714
Spain,ESP,"Mar 10, 2020",28,23,0,6.857142857142857
Spain,ESP,"Mar 11, 2020",35,7,1,7.0
Spain,ESP,"Mar 12, 2020",47,12,2,8.0
Spain,ESP,"Mar 13, 2020",84,37,3,13.285714285714286
Spain,ESP,"Mar 14, 2020",121,37,4,17.714285714285715
Spain,ESP,"Mar 15, 2020",136,15,5,19.142857142857142
Spain,ESP,"Mar 16, 2020",288,152,6,40.42857142857143
Spain,ESP,"Mar 17, 2020",309,21,7,40.142857142857146
Spain,ESP,"Mar 18, 2020",491,182,8,65.14285714285714
Spain,ESP,"Mar 19, 2020",598,107,9,78.71428571428571
Spain,ESP,"Mar 20, 2020",767,169,10,97.57142857142857
Spain,ESP,"Mar 21, 2020",1002,235,11,125.85714285714286
Spain,ESP,"Mar 22, 2020",1326,324,12,170.0
Spain,ESP,"Mar 23, 2020",1720,394,13,204.57142857142858
Spain,ESP,"Mar 24, 2020",2182,462,14,267.57142857142856
Spain,ESP,"Mar 25, 2020",2696,514,15,315.0
Spain,ESP,"Mar 26, 2020",3434,738,16,405.14285714285717
Spain,ESP,"Mar 27, 2020",4089,655,17,474.57142857142856
Spain,ESP,"Mar 28, 2020",4858,769,18,550.8571428571429
Spain,ESP,"Mar 29, 2020",5690,832,19,623.4285714285714
Spain,ESP,"Mar 30, 2020",6528,838,20,686.8571428571429
Spain,ESP,"Mar 31, 2020",7340,812,21,736.8571428571429
Spain,ESP,"Apr 1, 2020",8189,849,22,784.7142857142857
Spain,ESP,"Apr 2, 2020",9053,864,23,802.7142857142857
Spain,ESP,"Apr 3, 2020",10003,950,24,844.8571428571429
Spain,ESP,"Apr 4, 2020",10935,932,25,868.1428571428571
